Time,Temp-0,Humid-0,Temp-1,Humid-1,Temp-15,Humid-15,Temp-23,Humid-23,
25.15,32.99,24.93,33.85,24.87,33.94,24.76,32.49,
25.15,34.68,24.96,35.52,24.87,34.39,24.78,32.46,
25.17,32.48,24.96,33.34,24.84,31.88,24.77,30.91,
25.15,30.19,24.96,30.80,24.89,30.14,24.80,29.67,
25.17,31.10,24.93,30.90,24.86,30.66,24.80,29.65,
25.14,30.92,24.95,31.44,24.86,31.34,24.81,29.94,
25.18,33.09,24.96,34.69,24.87,34.21,24.78,31.51,
25.17,33.06,24.95,34.82,24.87,34.76,24.78,32.30,
25.15,34.71,24.95,35.01,24.87,34.60,24.81,33.69,
25.17,36.08,24.99,35.22,24.89,34.85,24.80,33.92,
25.15,35.10,24.98,35.36,24.90,36.87,24.81,35.75,
25.14,30.94,24.93,32.31,24.89,33.15,24.80,32.39,
27.42,76.74,24.95,33.19,24.86,34.18,24.83,33.19,
28.74,90.84,24.95,36.60,24.84,35.18,24.80,34.54,
29.44,94.48,24.95,35.43,24.84,35.28,24.81,35.32,
30.06,95.68,24.92,34.91,24.84,34.51,24.80,35.95,
30.39,96.23,24.95,34.64,24.82,34.63,24.81,34.70,
30.66,96.61,24.90,32.31,24.82,34.19,24.80,35.35,
30.70,96.89,24.92,33.40,24.84,34.18,24.83,34.89,
30.40,96.98,24.95,35.24,24.86,36.37,24.84,36.63,
29.93,48.13,24.96,37.41,25.49,40.54,26.66,75.89,
29.40,31.76,24.95,37.04,26.18,41.53,27.85,90.32,
28.95,27.65,24.96,34.91,26.69,41.00,28.50,94.24,
28.49,27.89,24.93,35.00,27.02,42.26,28.87,95.52,
28.16,29.71,24.92,34.90,27.03,39.36,28.64,83.09,
27.81,29.57,24.92,33.80,26.37,32.41,28.12,48.78,
